Timed By,20 Yard Shuttle,100 Meter Dash,Bench: 1-rep max (lbs),Bench x 185 (lbs),Vertical Jump,Standing Broad Jump,Bench x 225 (lbs),Squat (lbs),Power Clean
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"F.A.S.T. Lima, Ohio ",4.31,N/A,N/A,N/A,34.3,10',N/A,N/A,N/A
N/A,Not sure,N/A,275,N/A,Not sure,N/A,Not sire,N/A,N/A
N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,225,7,32”,9’0”,1,N/A,215
N/A,N/A,N/A,195,N/A,"23""",N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,30,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,285,12,N/A,N/A,8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.3,N/A,245,N/A,30,N/A,7,N/A,N/A
N/A,N/A,N/A,255,10,N/A,N/A,3,N/A,N/A
